ID_Incident,WaktuKey,LokasiKey,JenisSeranganKey,TimResponKey,DurasiRespon,JumlahDataTerenam,StatusPenanganan
100,802,1,3,17,15,2417,selesai
101,1083,2,3,14,45,1341,selesai
102,544,2,5,6,365,9809,selesai
103,982,2,4,18,434,1981,selesai
104,626,2,5,2,318,811,pending
105,283,1,2,10,141,3787,selesai
106,1024,3,6,13,420,7342,selesai
107,589,1,6,3,334,5303,selesai
108,617,1,4,5,50,6054,selesai
109,936,3,3,19,123,5688,selesai
110,767,2,1,17,269,6622,selesai
111,595,1,4,11,19,7898,selesai
112,174,1,5,3,370,3290,pending
113,153,3,5,1,261,7938,selesai
114,353,2,6,19,44,3666,selesai
115,314,3,2,14,291,8081,selesai
116,279,3,2,5,217,9308,selesai
117,513,1,4,4,86,8538,selesai
118,1090,1,2,10,184,1675,pending
119,967,1,4,14,351,6112,selesai
120,881,2,4,18,335,193,selesai
121,430,1,5,19,321,790,selesai
122,423,2,1,3,354,5085,selesai
123,898,1,1,5,482,8819,selesai
124,36,3,3,16,457,1360,selesai
125,165,3,2,20,230,7563,selesai
126,25,1,1,2,377,8558,pending
127,1047,1,2,2,117,9392,selesai
128,772,1,4,11,244,37,selesai
129,139,1,3,9,226,614,pending
130,312,1,6,8,181,7249,selesai
131,387,3,1,16,385,3499,selesai
132,326,1,1,1,254,653,selesai
133,616,2,4,7,186,9308,pending
134,668,2,3,16,425,4234,selesai
135,714,1,2,4,335,6823,selesai
136,213,1,5,14,275,2639,selesai
137,833,2,6,12,465,394,selesai
138,793,1,4,6,148,9407,selesai
139,67,3,4,15,385,2461,pending
140,769,3,3,10,483,8271,selesai
141,729,3,6,16,7,1289,selesai
142,146,1,5,8,245,9511,selesai
143,1028,3,6,5,400,629,selesai
144,1087,3,3,2,273,230,pending
145,334,1,3,5,355,489,selesai
146,677,1,3,10,130,9681,selesai
147,111,2,1,16,282,809,selesai
148,962,3,3,17,352,4131,selesai
149,6,3,3,12,284,2724,selesai
150,182,1,2,16,279,8191,selesai
151,765,3,2,18,135,6231,selesai
152,844,2,3,20,374,9290,selesai
153,608,2,5,4,422,8339,pending
154,212,2,6,2,311,9707,selesai
155,910,2,5,15,202,3485,selesai
156,466,1,5,8,444,5402,pending
157,347,3,1,18,50,1844,selesai
158,491,3,6,18,404,6225,selesai
159,497,3,5,20,238,5101,selesai
160,862,3,2,20,176,6211,selesai
161,604,2,1,15,341,6547,selesai
162,654,3,5,12,220,1052,selesai
163,330,2,2,14,100,784,selesai
164,501,1,4,19,55,7063,pending
165,308,1,1,12,357,1873,selesai
166,460,1,2,13,478,6133,selesai
167,357,1,6,20,217,6802,selesai
168,163,2,1,3,163,547,selesai
169,1084,1,4,19,65,7729,selesai
170,554,2,2,11,286,6979,selesai
171,2,1,5,8,325,5020,selesai
172,658,3,1,15,368,9569,selesai
173,861,3,6,11,206,6683,selesai
174,700,3,3,2,178,5628,selesai
175,123,2,2,7,119,9098,selesai
176,663,2,6,3,429,956,selesai
177,192,2,2,20,137,1594,selesai
178,377,2,1,12,312,2008,selesai
179,837,2,2,14,400,4231,selesai
180,559,3,5,3,243,624,pending
181,714,1,2,11,239,1318,selesai
182,672,3,5,13,406,629,selesai
183,308,3,4,8,298,2197,selesai
184,325,2,4,10,221,2892,selesai
185,97,3,6,18,170,1396,selesai
186,943,3,1,4,292,4720,selesai
187,274,2,4,5,27,299,selesai
188,435,3,2,10,455,7584,selesai
189,223,3,6,6,357,4445,pending
190,704,1,2,13,156,5861,pending
191,852,3,4,4,145,5126,pending
192,409,2,5,3,191,9751,selesai
193,808,1,3,2,361,7514,selesai
194,174,1,6,5,174,6807,selesai
195,625,1,6,16,454,7813,selesai
196,716,1,5,9,484,3608,selesai
197,273,2,5,16,433,6213,selesai
198,712,2,1,19,72,3498,selesai
199,1051,2,4,14,265,9635,selesai
200,125,2,3,20,375,7161,selesai
201,1033,1,1,18,499,8553,selesai
202,476,1,1,14,223,6063,selesai
203,806,1,4,10,238,595,selesai
204,737,3,6,20,262,9837,selesai
205,596,1,2,7,148,818,selesai
206,13,1,6,10,348,2701,selesai
207,58,3,1,6,240,8014,selesai
208,983,1,4,11,117,487,selesai
209,78,2,5,8,307,3031,pending
210,563,2,6,4,243,4903,selesai
211,74,1,5,3,435,7438,selesai
212,982,1,6,5,333,5335,selesai
213,508,3,2,9,257,8943,selesai
214,603,2,6,4,303,1824,selesai
215,647,3,2,9,184,7811,pending
216,566,2,5,4,225,3841,pending
217,290,3,1,2,21,6882,pending
218,39,1,1,6,462,2606,selesai
219,308,2,6,5,281,9905,selesai
220,201,2,1,9,11,3786,pending
221,25,3,6,7,128,4494,selesai
222,790,2,4,1,431,568,selesai
223,870,2,1,5,173,8803,selesai
224,747,3,1,20,192,5403,selesai
225,749,3,5,12,60,497,selesai
226,529,3,2,3,202,4492,selesai
227,991,1,5,13,158,3263,selesai
228,686,2,3,13,374,1713,selesai
229,98,1,6,19,223,451,selesai
230,564,3,3,7,208,5587,selesai
231,656,3,3,1,13,3687,selesai
232,567,1,2,15,122,5505,selesai
233,626,2,3,6,49,3750,selesai
234,598,1,5,13,199,3976,selesai
235,942,3,2,16,487,6448,selesai
236,27,3,4,10,465,7721,selesai
237,957,2,5,9,431,2984,selesai
238,301,3,2,1,117,4232,selesai
239,97,3,4,4,369,1548,selesai
240,392,3,1,12,488,5257,selesai
241,608,3,6,10,274,713,selesai
242,510,2,4,15,263,3409,selesai
243,907,3,3,12,305,3994,selesai
244,679,3,6,17,266,2027,selesai
245,272,3,5,10,66,9460,selesai
246,964,2,6,4,390,2522,selesai
247,1020,2,5,9,13,3907,pending
248,761,3,5,17,44,945,selesai
249,146,1,5,12,431,8240,selesai
250,427,2,5,20,259,4013,selesai
251,610,2,6,19,122,2852,selesai
252,67,1,1,16,309,4634,selesai
253,788,2,2,11,55,140,selesai
254,520,1,2,8,90,8610,selesai
255,528,3,4,2,88,3832,selesai
256,51,2,2,13,245,9099,selesai
257,858,2,3,13,179,2711,selesai
258,426,1,1,20,317,2089,selesai
259,575,1,4,15,468,4176,pending
260,367,1,4,6,260,4059,selesai
261,423,1,5,5,322,1084,selesai
262,613,3,5,1,102,6104,selesai
263,805,3,4,5,490,7049,selesai
264,560,3,4,19,166,3224,selesai
265,811,1,4,15,151,8579,selesai
266,525,3,5,15,435,1895,selesai
267,861,3,4,3,44,5679,selesai
268,480,1,5,16,436,2832,selesai
269,470,3,1,15,294,3253,selesai
270,1059,2,5,5,76,961,pending
271,408,1,4,12,133,4532,selesai
272,327,3,3,16,446,8336,selesai
273,87,1,3,14,15,3702,selesai
274,770,3,6,19,230,4442,selesai
275,241,1,5,8,103,3444,selesai
276,519,1,5,14,176,3444,selesai
277,496,3,4,10,489,2978,selesai
278,49,2,6,6,406,3565,selesai
279,389,1,1,1,216,2799,selesai
280,822,3,2,20,355,2146,selesai
281,537,3,6,13,191,5260,pending
282,906,2,5,10,184,5229,selesai
283,238,2,6,19,171,8306,selesai
284,509,2,1,16,88,4907,selesai
285,47,1,3,12,257,2850,selesai
286,1030,2,1,6,299,2416,selesai
287,21,3,4,16,307,2810,selesai
288,236,2,2,2,98,4570,selesai
289,1074,3,5,20,457,8045,selesai
290,785,1,2,15,12,7089,pending
291,778,2,4,10,437,5468,selesai
292,722,3,5,6,344,4671,selesai
293,602,1,2,7,323,1047,selesai
294,9,2,1,11,233,5898,pending
295,483,2,4,8,419,6498,selesai
296,1051,3,2,15,230,3789,pending
297,364,2,1,14,217,9653,selesai
298,894,2,3,13,321,859,pending
299,436,2,4,13,45,757,pending
300,372,2,5,11,102,8187,selesai
301,48,3,4,7,402,1958,selesai
302,154,3,3,2,354,3329,selesai
303,121,1,3,11,14,6752,selesai
304,837,3,1,13,46,9234,selesai
305,1070,1,3,8,114,6080,selesai
306,767,1,3,18,239,3837,selesai
307,840,1,6,2,124,9798,selesai
308,1075,2,4,9,279,9823,selesai
309,992,2,4,1,74,2191,pending
310,239,3,5,14,33,6530,selesai
311,105,1,1,11,399,8924,selesai
312,390,2,1,2,46,3919,selesai
313,853,3,1,5,72,336,selesai
314,519,1,4,16,368,1161,selesai
315,88,2,6,18,257,2919,pending
316,784,3,6,9,494,2557,selesai
317,78,3,5,3,165,8894,selesai
318,470,1,1,7,313,3320,selesai
319,1059,3,3,7,458,6168,pending
320,31,3,5,16,99,8959,pending
321,245,1,5,19,264,4959,selesai
322,730,1,4,9,189,1182,selesai
323,483,3,5,14,214,3066,selesai
324,71,1,5,16,230,9686,selesai
325,819,1,6,14,297,6052,selesai
326,994,2,1,7,227,8908,selesai
327,53,2,2,14,206,9249,selesai
328,913,3,1,6,145,3448,selesai
329,526,2,2,8,19,9049,selesai
330,812,1,6,6,85,6093,selesai
331,372,2,1,16,352,909,selesai
332,798,3,6,20,243,86,selesai
333,364,1,2,15,208,3800,selesai
334,294,3,1,14,368,5751,selesai
335,765,3,3,16,302,9146,selesai
336,935,3,4,3,436,5776,selesai
337,758,2,6,16,296,1887,selesai
338,847,1,1,20,233,9950,selesai
339,1052,2,3,16,375,119,selesai
340,994,3,5,8,361,9599,selesai
341,371,2,6,11,372,8006,selesai
342,126,2,6,6,184,4081,selesai
343,678,3,3,6,305,8835,selesai
344,181,2,6,8,28,1379,pending
345,881,1,2,12,160,4918,selesai
346,540,3,3,16,359,2865,selesai
347,835,2,5,18,70,8655,selesai
348,177,2,3,1,127,1138,selesai
349,160,1,5,10,385,2756,selesai
350,801,3,1,7,473,925,selesai
351,160,3,1,18,81,3325,selesai
352,752,3,2,16,426,6146,selesai
353,245,2,2,7,476,1285,selesai
354,487,3,3,8,303,8995,selesai
355,111,2,3,10,177,5730,selesai
356,250,1,3,8,352,596,selesai
357,820,3,4,9,16,5280,selesai
358,519,3,5,6,375,5440,selesai
359,39,1,5,2,233,4068,selesai
360,940,1,4,19,335,8567,selesai
361,389,2,2,8,497,5669,selesai
362,1058,1,1,17,144,4167,pending
363,796,3,3,5,50,15,selesai
364,854,1,4,18,230,6761,selesai
365,447,1,4,20,433,2511,selesai
366,384,1,6,9,434,443,selesai
367,1088,3,2,3,160,8717,selesai
368,402,2,4,7,8,2058,selesai
369,1007,1,4,12,56,555,selesai
370,1035,3,5,10,405,9072,selesai
371,57,1,2,16,232,2498,selesai
372,338,1,6,20,414,91,selesai
373,838,3,1,20,338,234,selesai
374,429,1,4,6,383,3746,selesai
375,1083,2,5,10,367,6189,selesai
376,507,3,3,6,72,4719,selesai
377,862,3,4,4,438,9241,selesai
378,438,2,5,1,32,1763,selesai
379,886,1,1,13,432,4355,pending
380,1031,1,3,15,177,5786,selesai
381,186,2,4,13,331,7659,selesai
382,326,1,6,11,12,5056,selesai
383,300,1,4,7,226,1728,selesai
384,65,3,2,13,163,1405,selesai
385,194,2,4,7,284,5848,selesai
386,272,2,6,8,460,8662,selesai
387,177,1,4,20,323,8207,pending
388,141,3,3,17,42,8885,selesai
389,320,2,4,17,419,6559,selesai
390,642,3,3,5,57,9759,selesai
391,302,1,2,19,207,6216,selesai
392,337,2,2,13,300,9774,selesai
393,275,1,4,15,423,2763,selesai
394,873,1,5,6,337,1753,pending
395,485,2,2,1,342,4666,selesai
396,680,1,6,17,394,2752,selesai
397,821,3,2,15,205,1539,selesai
398,994,1,4,1,339,1257,selesai
399,426,1,3,15,487,7050,selesai
400,621,1,4,7,7,9420,selesai
401,394,2,4,4,413,1895,selesai
402,660,2,6,14,476,2043,selesai
403,36,3,4,6,136,268,selesai
404,1037,1,5,9,451,2986,selesai
405,295,2,6,5,250,5966,selesai
406,470,3,2,6,183,8940,selesai
407,587,3,2,2,463,8077,selesai
408,903,2,2,17,408,300,pending
409,1013,3,6,16,409,4813,selesai
410,754,1,5,16,406,4039,selesai
411,175,3,4,8,83,4132,selesai
412,462,3,1,17,431,8887,selesai
413,473,3,5,20,461,7376,pending
414,21,2,1,8,210,979,pending
415,1022,2,5,2,451,7367,pending
416,665,1,2,14,490,3227,selesai
417,18,2,5,17,237,6067,selesai
418,238,3,2,10,330,7090,selesai
419,52,2,6,16,390,2441,selesai
420,76,2,6,18,276,524,selesai
421,1056,2,6,18,40,6510,selesai
422,115,2,5,11,485,8942,selesai
423,449,2,6,15,17,6927,selesai
424,90,1,1,15,97,2516,selesai
425,949,3,6,7,464,7611,selesai
426,89,3,5,2,480,3601,pending
427,354,3,6,7,125,2886,selesai
428,1021,1,1,7,340,6623,selesai
429,49,2,6,20,173,7481,selesai
430,885,2,6,6,336,4689,selesai
431,365,3,3,20,413,1296,selesai
432,437,1,4,8,387,8082,selesai
433,415,1,5,5,184,9160,selesai
434,313,3,5,7,420,8193,selesai
435,537,3,3,6,413,6851,pending
436,688,1,1,11,119,7502,selesai
437,265,2,2,5,440,8869,selesai
438,925,1,2,13,469,9772,selesai
439,586,2,2,1,25,9661,pending
440,568,1,1,6,466,7212,selesai
441,827,3,2,7,122,3808,selesai
442,108,3,3,7,65,7795,selesai
443,13,2,5,10,271,5946,selesai
444,329,3,2,9,34,5107,selesai
445,1010,3,6,6,305,8493,selesai
446,563,1,4,9,330,277,selesai
447,520,3,1,18,256,2019,selesai
448,14,1,1,16,36,3397,selesai
449,740,1,1,18,274,1005,selesai
450,592,3,1,13,190,4012,pending
451,632,1,1,3,347,6282,selesai
452,390,2,3,3,282,9759,selesai
453,439,2,2,4,237,7212,selesai
454,1034,2,5,7,215,8586,pending
455,237,3,2,16,437,7719,selesai
456,119,3,6,19,332,6718,selesai
457,732,1,2,13,98,387,selesai
458,197,1,4,1,160,5780,selesai
459,682,3,2,14,187,5724,selesai
460,88,3,6,18,283,210,selesai
461,1053,1,1,8,473,943,selesai
462,940,2,2,3,321,4201,selesai
463,107,3,5,11,149,1621,selesai
464,259,2,2,19,456,9830,selesai
465,450,3,1,9,454,5587,selesai
466,358,1,3,14,261,5904,selesai
467,622,2,3,3,240,7856,selesai
468,304,2,3,11,271,924,selesai
469,591,3,5,11,95,8008,pending
470,772,3,2,4,421,5626,selesai
471,806,2,3,3,423,6807,pending
472,352,2,5,10,50,3699,selesai
473,532,3,3,1,307,6147,selesai
474,519,3,6,8,488,4630,selesai
475,278,3,4,13,409,4355,selesai
476,713,3,5,3,83,6904,selesai
477,1089,1,6,12,66,5337,selesai
478,847,3,3,8,108,2660,selesai
479,639,1,6,9,342,6227,selesai
480,722,3,1,9,97,5756,selesai
481,210,3,4,2,330,5564,selesai
482,1084,2,1,13,377,743,pending
483,266,2,5,5,14,2624,selesai
484,503,1,6,7,272,4549,pending
485,1062,2,3,10,141,7918,selesai
486,47,2,6,3,489,1441,selesai
487,898,3,4,10,64,3025,pending
488,357,2,4,13,7,8557,selesai
489,243,2,4,10,420,7753,selesai
490,537,3,4,16,413,2575,selesai
491,656,3,1,1,419,2262,selesai
492,6,2,4,6,31,1470,selesai
493,325,2,6,18,307,2162,selesai
494,673,2,2,1,13,3375,pending
495,977,1,4,5,205,507,selesai
496,182,1,6,11,206,9411,selesai
497,1094,3,6,14,433,6822,selesai
498,308,2,6,20,158,9858,selesai
499,1073,1,1,1,37,7786,selesai
500,761,1,3,1,460,1835,selesai
501,381,1,3,1,43,7126,selesai
502,955,2,6,8,170,2080,selesai
503,176,1,2,6,412,1758,selesai
504,358,2,5,16,273,4980,pending
505,524,2,3,1,183,9196,selesai
506,830,2,6,2,262,7680,selesai
507,608,3,2,15,375,645,selesai
508,615,1,6,15,498,2552,pending
509,155,2,1,11,191,8261,selesai
510,192,2,5,5,58,3579,pending
511,1044,1,3,19,139,4985,selesai
512,957,2,5,16,90,1629,selesai
513,893,2,4,13,33,7154,selesai
514,990,2,3,8,445,7006,selesai
515,169,1,3,9,13,9308,selesai
516,59,1,5,17,301,2240,selesai
517,674,1,5,19,364,3300,selesai
518,931,2,2,13,161,162,pending
519,1065,3,2,3,185,1616,selesai
520,264,1,2,2,38,5545,selesai
521,669,2,4,6,81,5183,selesai
522,100,3,1,3,137,3554,selesai
523,656,1,1,11,469,5536,selesai
524,351,2,2,5,245,1787,pending
525,930,3,4,10,200,2591,selesai
526,48,2,6,3,251,2549,selesai
527,163,3,5,6,461,7536,selesai
528,410,3,5,11,191,8854,selesai
529,687,2,4,15,406,6396,selesai
530,887,1,2,16,69,1009,selesai
531,487,1,6,2,35,2965,pending
532,876,1,5,10,24,2103,selesai
533,426,3,2,15,258,742,pending
534,529,3,1,9,360,1817,selesai
535,553,3,6,1,60,4064,selesai
536,897,1,2,13,469,7609,selesai
537,897,1,3,13,160,5068,selesai
538,398,1,1,20,146,7741,selesai
539,710,2,1,18,496,1299,pending
540,1083,1,4,11,420,2922,selesai
541,967,3,3,10,490,8701,selesai
542,873,2,5,11,324,285,selesai
543,297,1,2,1,150,752,selesai
544,801,1,2,13,261,420,selesai
545,455,3,5,10,333,1257,selesai
546,217,3,2,16,305,9862,selesai
547,175,3,6,2,175,1007,selesai
548,449,2,3,20,352,9742,pending
549,321,1,2,10,286,7493,selesai
550,797,3,1,4,23,1403,selesai
551,597,2,6,12,262,5811,selesai
552,909,1,2,7,237,3680,selesai
553,555,2,6,17,279,2969,selesai
554,768,2,3,4,492,7910,selesai
555,1013,3,2,7,339,5964,selesai
556,753,1,2,20,38,8562,pending
557,651,3,5,16,482,1508,selesai
558,357,2,1,12,122,2924,pending
559,728,2,3,17,287,4133,selesai
560,413,1,4,16,277,9381,selesai
561,255,2,4,2,213,9273,pending
562,924,1,3,17,56,5546,selesai
563,691,1,2,10,16,2859,selesai
564,758,1,5,7,474,4762,selesai
565,664,3,4,14,372,1708,selesai
566,460,2,3,17,142,6345,selesai
567,860,3,6,4,281,7754,selesai
568,217,3,5,17,139,2978,selesai
569,1059,3,5,13,401,6017,selesai
570,40,2,3,13,273,6300,selesai
571,775,2,2,9,318,6565,selesai
572,681,3,2,4,433,2718,selesai
573,815,1,1,17,484,3958,selesai
574,764,1,1,11,237,2082,pending
575,309,2,6,4,305,9733,selesai
576,302,1,4,17,442,9659,selesai
577,794,2,4,12,380,4502,selesai
578,879,3,6,12,73,7584,selesai
579,567,3,2,7,43,6292,selesai
580,58,1,4,20,401,968,selesai
581,252,1,1,2,369,1270,selesai
582,192,2,3,8,154,3193,selesai
583,243,3,2,5,114,6328,pending
584,905,2,3,19,66,1759,selesai
585,386,1,6,9,284,3898,selesai
586,387,2,4,7,283,2012,pending
587,699,3,5,9,243,9981,selesai
588,312,1,6,18,257,991,selesai
589,391,1,4,15,36,6890,selesai
590,668,3,4,12,338,9444,pending
591,822,2,3,15,145,1004,selesai
592,43,2,4,7,412,540,selesai
593,430,1,1,9,147,5950,selesai
594,159,3,4,5,427,1245,selesai
595,539,1,1,3,313,5155,selesai
596,242,3,5,8,314,6503,selesai
597,392,3,2,14,64,6572,selesai
598,1091,3,4,14,431,2760,selesai
599,373,3,4,17,434,9913,selesai
600,295,3,5,14,15,81,pending
601,74,2,2,9,349,5151,pending
602,767,2,6,15,208,8436,selesai
603,1,3,5,16,464,6817,selesai
604,440,3,4,19,20,804,selesai
605,949,2,3,8,137,6601,pending
606,736,1,1,18,404,5492,selesai
607,138,2,6,4,260,3362,selesai
608,148,2,2,19,15,7011,pending
609,822,2,2,5,387,5018,selesai
610,422,1,6,11,73,8712,selesai
611,102,1,6,12,408,5431,selesai
612,278,2,3,6,57,6765,selesai
613,508,3,6,15,213,8771,selesai
614,282,3,2,8,489,3651,pending
615,497,3,5,19,297,4230,selesai
616,828,3,2,18,486,85,selesai
617,520,2,6,7,465,719,selesai
618,462,1,5,15,121,2385,selesai
619,848,1,5,14,299,3414,pending
620,229,3,1,10,487,8967,pending
621,599,2,5,4,327,5188,selesai
622,1064,2,1,16,332,3855,selesai
623,513,3,4,20,118,7094,selesai
624,617,1,1,16,255,1965,selesai
625,697,3,2,12,128,4001,selesai
626,763,3,6,1,130,2999,selesai
627,1045,1,5,3,69,2424,selesai
628,251,3,4,9,265,6810,selesai
629,838,1,2,12,149,7797,selesai
630,344,3,2,7,455,7723,selesai
631,285,1,4,3,221,2899,selesai
632,948,2,2,3,384,6051,pending
633,24,2,6,18,349,1369,selesai
634,236,3,4,6,70,5615,selesai
635,845,3,5,14,411,6306,selesai
636,616,2,4,14,406,5292,selesai
637,128,1,3,2,417,9455,pending
638,781,1,5,9,253,6106,selesai
639,1052,1,4,11,90,5510,selesai
640,876,1,5,17,458,6530,selesai
641,1078,2,6,7,487,6139,selesai
642,1034,3,5,5,288,2636,selesai
643,880,1,6,2,154,6963,pending
644,187,1,3,3,385,3261,selesai
645,815,2,4,13,164,3801,selesai
646,308,1,4,7,297,5844,selesai
647,535,3,6,12,264,7296,pending
648,799,2,5,9,422,4607,selesai
649,1050,2,6,9,31,2672,selesai
650,553,2,2,11,254,5706,selesai
651,764,3,3,12,248,9784,selesai
652,110,1,2,18,221,1344,selesai
653,642,1,5,5,101,9820,selesai
654,646,1,4,10,135,2058,selesai
655,1072,3,2,13,484,9101,selesai
656,363,3,4,4,41,9522,selesai
657,826,2,3,9,462,1265,selesai
658,20,2,2,2,373,8842,selesai
659,537,1,2,13,280,4237,selesai
660,520,1,1,17,437,3266,selesai
661,417,3,1,17,396,858,selesai
662,52,3,6,17,265,5705,selesai
663,41,1,5,1,410,8043,selesai
664,208,3,6,6,50,5107,pending
665,1009,1,5,19,314,962,selesai
666,647,2,4,9,126,857,pending
667,332,1,4,10,204,5900,selesai
668,84,2,4,1,231,4242,selesai
669,652,3,4,16,137,9398,selesai
670,1015,3,3,4,80,8160,selesai
671,970,3,2,19,15,7276,selesai
672,694,1,2,5,480,6456,selesai
673,447,1,6,6,97,7638,selesai
674,183,2,4,13,64,2484,pending
675,660,3,3,4,17,3074,selesai
676,212,1,3,6,424,4574,selesai
677,838,2,1,20,403,551,selesai
678,333,3,4,14,34,1849,selesai
679,409,3,1,1,56,1438,selesai
680,117,2,4,2,12,6074,selesai
681,1010,1,4,12,307,8806,selesai
682,97,2,5,19,91,5498,selesai
683,430,3,5,3,313,304,selesai
684,688,3,4,13,89,3623,selesai
685,58,1,2,10,235,2627,selesai
686,738,2,1,15,351,1655,pending
687,114,3,5,20,322,7521,pending
688,815,2,1,1,370,9240,selesai
689,1070,3,6,15,496,4650,selesai
690,750,2,5,4,184,1920,selesai
691,965,3,6,17,430,642,selesai
692,40,1,3,14,246,5182,selesai
693,884,1,5,2,470,1127,selesai
694,791,1,5,11,146,8042,selesai
695,735,1,3,7,474,6664,selesai
696,162,1,4,19,223,8420,selesai
697,675,2,6,14,86,7642,selesai
698,418,2,4,11,297,4829,selesai
699,871,1,6,7,492,8265,pending
700,684,2,3,14,224,7092,selesai
701,159,3,5,5,498,9976,selesai
702,954,2,2,6,497,5704,selesai
703,346,1,4,10,103,9571,pending
704,531,2,2,9,313,3283,selesai
705,1067,2,4,18,128,6057,pending
706,640,2,2,9,240,5230,selesai
707,492,1,6,1,336,5435,selesai
708,59,1,2,20,460,6732,selesai
709,754,2,2,8,288,1787,selesai
710,887,2,2,10,42,3975,selesai
711,90,1,5,5,466,5574,selesai
712,1057,1,5,3,80,3072,selesai
713,794,3,5,15,75,1112,selesai
714,740,1,5,14,444,7718,selesai
715,992,1,5,10,452,6532,selesai
716,518,2,1,16,336,1554,selesai
717,716,1,3,4,343,635,pending
718,878,3,4,15,231,572,selesai
719,831,3,1,12,105,8676,selesai
720,290,3,3,2,10,1385,selesai
721,323,1,3,16,385,2064,selesai
722,341,1,2,4,359,7421,selesai
723,826,1,6,1,243,3075,selesai
724,193,2,2,5,290,9528,selesai
725,896,3,3,16,368,574,selesai
726,850,3,1,3,270,8680,pending
727,550,2,1,8,309,7293,selesai
728,356,2,6,12,128,1751,selesai
729,592,3,3,13,301,2733,selesai
730,406,3,3,14,15,8774,selesai
731,104,2,1,5,321,856,pending
732,298,1,5,14,251,4702,selesai
733,765,1,6,10,336,4841,selesai
734,593,3,1,15,146,6529,selesai
735,344,1,2,19,283,4834,selesai
736,997,3,1,5,115,7378,selesai
737,636,2,3,13,62,1213,selesai
